Area,Main means of travel to education,Age group,Sex,Year,Value,Flags
"Grey Lynn East","Other","Total people - age group","Total people - sex","2018",6,
"Morningside (Auckland)","Public bus","Total people - age group","Total people - sex","2018",147,
"Morningside (Auckland)","Train","Total people - age group","Total people - sex","2018",51,
"Morningside (Auckland)","Ferry","Total people - age group","Total people - sex","2018",0,
"Morningside (Auckland)","Other","Total people - age group","Total people - sex","2018",9,
"Shortland Street","Public bus","Total people - age group","Total people - sex","2018",42,
"Shortland Street","Train","Total people - age group","Total people - sex","2018",9,
"Shortland Street","Ferry","Total people - age group","Total people - sex","2018",0,
"Shortland Street","Other","Total people - age group","Total people - sex","2018",3,
"Hobson Ridge South","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",657,
"Hobson Ridge South","Study at home","Total people - age group","Total people - sex","2018",33,
"Hobson Ridge South","Drive a car, truck or van","Total people - age group","Total people - sex","2018",27,
"Hobson Ridge South","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",15,
"Hobson Ridge South","Bicycle","Total people - age group","Total people - sex","2018",6,
"Hobson Ridge South","Walk or jog","Total people - age group","Total people - sex","2018",480,
"Hobson Ridge South","School bus","Total people - age group","Total people - sex","2018",3,
"Hobson Ridge South","Public bus","Total people - age group","Total people - sex","2018",69,
"Hobson Ridge South","Train","Total people - age group","Total people - sex","2018",18,
"Hobson Ridge South","Ferry","Total people - age group","Total people - sex","2018",3,
"Hobson Ridge South","Other","Total people - age group","Total people - sex","2018",6,
"New Lynn Central","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",87,
"New Lynn Central","Study at home","Total people - age group","Total people - sex","2018",6,
"New Lynn Central","Drive a car, truck or van","Total people - age group","Total people - sex","2018",15,
"New Lynn Central","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",21,
"New Lynn Central","Bicycle","Total people - age group","Total people - sex","2018",0,
"New Lynn Central","Walk or jog","Total people - age group","Total people - sex","2018",12,
"New Lynn Central","School bus","Total people - age group","Total people - sex","2018",0,
"New Lynn Central","Public bus","Total people - age group","Total people - sex","2018",15,
"New Lynn Central","Train","Total people - age group","Total people - sex","2018",15,
"New Lynn Central","Ferry","Total people - age group","Total people - sex","2018",0,
"New Lynn Central","Other","Total people - age group","Total people - sex","2018",3,
"Cheltenham","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",528,
"Cheltenham","Study at home","Total people - age group","Total people - sex","2018",24,
"Cheltenham","Drive a car, truck or van","Total people - age group","Total people - sex","2018",45,
"Cheltenham","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",108,
"Cheltenham","Bicycle","Total people - age group","Total people - sex","2018",69,
"Cheltenham","Walk or jog","Total people - age group","Total people - sex","2018",72,
"Cheltenham","School bus","Total people - age group","Total people - sex","2018",117,
"Cheltenham","Public bus","Total people - age group","Total people - sex","2018",30,
"Cheltenham","Train","Total people - age group","Total people - sex","2018",0,
"Cheltenham","Ferry","Total people - age group","Total people - sex","2018",63,
"Cheltenham","Other","Total people - age group","Total people - sex","2018",0,
"Queen Street South West","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",459,
"Queen Street South West","Study at home","Total people - age group","Total people - sex","2018",21,
"Queen Street South West","Drive a car, truck or van","Total people - age group","Total people - sex","2018",18,
"Queen Street South West","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",18,
"Queen Street South West","Bicycle","Total people - age group","Total people - sex","2018",3,
"Queen Street South West","Walk or jog","Total people - age group","Total people - sex","2018",327,
"Queen Street South West","School bus","Total people - age group","Total people - sex","2018",6,
"Queen Street South West","Public bus","Total people - age group","Total people - sex","2018",63,
"Queen Street South West","Train","Total people - age group","Total people - sex","2018",6,
"Queen Street South West","Ferry","Total people - age group","Total people - sex","2018",0,
"Queen Street South West","Other","Total people - age group","Total people - sex","2018",6,
"Mount Albert Central","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1155,
"Mount Albert Central","Study at home","Total people - age group","Total people - sex","2018",33,
"Mount Albert Central","Drive a car, truck or van","Total people - age group","Total people - sex","2018",96,
"Mount Albert Central","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",225,
"Mount Albert Central","Bicycle","Total people - age group","Total people - sex","2018",36,
"Mount Albert Central","Walk or jog","Total people - age group","Total people - sex","2018",474,
"Mount Albert Central","School bus","Total people - age group","Total people - sex","2018",9,
"Mount Albert Central","Public bus","Total people - age group","Total people - sex","2018",162,
"Mount Albert Central","Train","Total people - age group","Total people - sex","2018",102,
"Mount Albert Central","Ferry","Total people - age group","Total people - sex","2018",0,
"Mount Albert Central","Other","Total people - age group","Total people - sex","2018",15,
"Karangahape","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",399,
"Karangahape","Study at home","Total people - age group","Total people - sex","2018",36,
"Karangahape","Drive a car, truck or van","Total people - age group","Total people - sex","2018",33,
"Karangahape","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",24,
"Karangahape","Bicycle","Total people - age group","Total people - sex","2018",12,
"Karangahape","Walk or jog","Total people - age group","Total people - sex","2018",225,
"Karangahape","School bus","Total people - age group","Total people - sex","2018",0,
"Karangahape","Public bus","Total people - age group","Total people - sex","2018",57,
"Karangahape","Train","Total people - age group","Total people - sex","2018",6,
"Karangahape","Ferry","Total people - age group","Total people - sex","2018",0,
"Karangahape","Other","Total people - age group","Total people - sex","2018",9,
"Kingsland","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",711,
"Kingsland","Study at home","Total people - age group","Total people - sex","2018",45,
"Kingsland","Drive a car, truck or van","Total people - age group","Total people - sex","2018",72,
"Kingsland","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",183,
"Kingsland","Bicycle","Total people - age group","Total people - sex","2018",33,
"Kingsland","Walk or jog","Total people - age group","Total people - sex","2018",150,
"Kingsland","School bus","Total people - age group","Total people - sex","2018",6,
"Kingsland","Public bus","Total people - age group","Total people - sex","2018",159,
"Kingsland","Train","Total people - age group","Total people - sex","2018",48,
"Kingsland","Ferry","Total people - age group","Total people - sex","2018",0,
"Kingsland","Other","Total people - age group","Total people - sex","2018",15,
"Waima-Woodlands Park","Drive a car, truck or van","Total people - age group","Total people - sex","2018",84,
"Waima-Woodlands Park","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",351,
